gs,woodiness,woodiness.count
Aa paleacea,H,1;0;0
Abarema adenophora,W,0;0;2
Abarema barbouriana,W,0;0;2
Abarema campestris,W,0;0;1
Abarema curvicarpa,W,0;0;1
Abarema jupunba,W,0;0;14
Abarema macradenia,W,0;0;3
Abarema mataybifolia,W,0;0;1
Abatia americana,W,0;0;1
Abatia boliviana,W,0;0;1
Abatia canescens,W,0;0;1
Abatia mexicana,W,0;0;1
Abatia parviflora,W,0;0;6
Abatia rugosa,W,0;0;1
Abatia spicata,W,0;0;1
Abatia stellata,W,0;0;1
Abdominea minimiflora,H,1;0;0
Abelia biflora,W,0;0;1
Abelia chinensis,W,0;0;1
Abelia dielsii,W,0;0;1
Abelia integrifolia,W,0;0;1
Abelia mosanensis,W,0;0;1
Abelia serrata,W,0;0;1
Abelia spathulata,W,0;0;1
Abelia triflora,W,0;0;1
Abelia zanderi,W,0;0;1
Abeliophyllum distichum,W,0;0;1
Abelmoschus esculentus,H,2;0;0
Abelmoschus ficulneus,W,0;0;1
Abelmoschus manihot,H,2;0;0
Abelmoschus moschatus,H,2;0;0
Abies alba,W,0;0;71
Abies amabilis,W,0;0;30
Abies balsamea,W,0;0;40
Abies borisii-regis,W,0;0;1
Abies bornmuelleriana,W,0;0;1
Abies bracteata,W,0;0;2
Abies cephalonica,W,0;0;1
Abies chensiensis,W,0;0;1
Abies cilicica,W,0;0;1
Abies concolor,W,0;0;8
Abies delavayi,W,0;0;2
Abies densa,W,0;0;1
Abies durangensis,W,0;0;2
Abies fabri,W,0;0;2
Abies fargesii,W,0;0;5
Abies firma,W,0;0;4
Abies forrestii,W,0;0;4
Abies fraseri,W,0;0;10
Abies grandis,W,0;0;8
Abies guatemalensis,W,0;0;2
Abies holophylla,W,0;0;2
Abies homolepis,W,0;0;1
Abies kawakamii,W,0;0;1
Abies koreana,W,0;0;1
Abies lasiocarpa,W,0;0;11
Abies magnifica,W,0;0;5
Abies mariesii,W,0;0;1
Abies marocana,W,0;0;1
Abies nebrodensis,W,0;0;1
Abies nephrolepis,W,0;0;11
Abies nordmanniana,W,0;0;1
Abies numidica,W,0;0;1
Abies pardei,W,0;0;1
Abies pindrow,W,0;0;2
Abies pinsapo,W,0;0;2
Abies procera,W,0;0;3
Abies recurvata,W,0;0;2
Abies religiosa,W,0;0;2
Abies sachalinensis,W,0;0;2
Abies shastensis,W,0;0;1
Abies sibirica,W,0;0;1
Abies spectabilis,W,0;0;4
Abies squamata,W,0;0;1
Abies veitchii,W,0;0;1
Abies vejarii,W,0;0;1
Abildgaardia ovata,H,1;0;0
Abobra tenuifolia,H,1;0;0
Abolboda poarchon,H,1;0;0
Abrahamia deflexa,W,0;0;1
Abroma augustum,W,0;0;1
Abromeitiella lorentziana,H,1;0;0
Abronia bigelovii,H,1;0;0
Abronia carletonii,H,1;0;0
Abronia villosa,H,3;0;0
Abrophyllum ornans,W,0;0;4
Abrotanella emarginata,variable,0;1;0
Abrotanella linearis,H,1;0;0
Abrus precatorius,W,1;0;3
Abuta grandifolia,W,0;1;4
Abuta grisebachii,W,0;0;1
Abuta imene,W,0;0;1
Abuta pahni,W,0;0;2
Abuta panamensis,W,0;0;8
Abuta panurensis,W,0;0;1
Abuta racemosa,W,0;0;2
Abuta rufescens,W,0;1;2
Abuta sandwithiana,W,0;0;1
Abuta solimoesensis,W,0;0;1
Abutilon angulatum,W,0;0;1
Abutilon auritum,W,0;0;1
Abutilon cryptopetalum,W,0;0;2
Abutilon fraseri,W,0;0;6
Abutilon fruticosum,W,0;0;1
Abutilon indicum,H,2;0;1
Abutilon micropetalum,W,0;0;1
Abutilon otocarpum,W,0;0;6
Abutilon pannosum,W,0;0;1
Abutilon theophrasti,H,5;0;0
Acacallis cyanea,H,1;0;0
Acacallis fimbriata,H,1;0;0
Acacia acanthophylla,W,0;0;2
Acacia acradenia,W,0;0;2
Acacia acuminata,W,0;0;5
Acacia adenocalyx,W,0;0;1
Acacia adoxa,W,0;0;1
Acacia adsurgens,W,0;0;3
Acacia adunca,W,0;0;1
Acacia aestivalis,W,0;0;1
Acacia albicorticata,W,0;0;1
Acacia albida,W,0;0;1
Acacia alleniana,W,0;0;2
Acacia altiscandens,W,0;0;1
Acacia amblyophylla,W,0;0;1
Acacia ammobia,W,0;0;3
Acacia ampliata,W,0;0;1
Acacia ampliceps,W,0;0;3
Acacia amythethophylla,W,0;0;1
Acacia ancistrocarpa,W,0;0;1
Acacia aneura,W,0;0;28
Acacia anfractuosa,W,0;0;1
Acacia angusta,W,0;0;1
Acacia angustissima,W,0;0;2
Acacia anthochaera,W,0;0;1
Acacia arabica,W,0;0;1
Acacia arafurica,W,0;0;1
Acacia argyraea,W,0;0;1
Acacia armitii,W,0;0;1
Acacia aroma,W,0;0;8
Acacia arrecta,W,0;0;1
Acacia assimilis,W,0;0;1
Acacia ataxacantha,W,0;0;2
Acacia atkinsiana,W,0;0;1
Acacia atramentaria,W,0;0;1
Acacia aulacocarpa,W,0;0;9
Acacia auriculiformis,W,0;0;12
Acacia ausfeldii,W,0;0;1
Acacia baileyana,W,0;0;1
Acacia bakeri,W,0;0;4
Acacia bancroftiorum,W,0;0;2
Acacia berlandieri,W,0;0;2
Acacia bidwillii,W,0;0;2
Acacia binervata,W,0;0;3
Acacia binervia,W,0;0;1
Acacia bivenosa,W,0;0;2
Acacia blakelyi,W,0;0;1
Acacia boliviana,W,0;0;1
Acacia bonariensis,W,0;0;3
Acacia borleae,W,0;0;1
Acacia brachybotrya,W,0;0;5
Acacia brachystachya,W,0;0;11
Acacia brevispica,W,0;0;1
Acacia brumalis,W,0;0;1
Acacia bulgaensis,W,0;0;1
Acacia burkei,W,0;0;1
Acacia burkittii,W,0;0;2
Acacia caesiella,W,0;0;1
Acacia caffra,W,0;0;1
Acacia calcicola,W,0;0;2
Acacia cambagei,W,0;0;8
Acacia cana,W,0;0;3
Acacia cangaiensis,W,0;0;1
Acacia cardiophylla,W,0;0;1
Acacia carneorum,W,0;0;1
Acacia caroleae,W,0;0;1
Acacia catechu,W,0;0;2
Acacia caven,W,0;0;10
Acacia celastrifolia,W,0;0;2
Acacia chartacea,W,0;0;1
Acacia chisholmii,W,0;0;2
Acacia chundra,W,0;0;1
Acacia cincinnata,W,0;0;1
Acacia citrinoviridis,W,0;0;3
Acacia clunies-rossiae,W,0;0;1
Acacia cochliacantha,W,0;0;1
Acacia cognata,W,0;0;1
Acacia colei,W,0;0;4
Acacia colletioides,W,0;0;14
Acacia collinsii,W,0;0;3
Acacia complanata,W,0;0;1
Acacia concurrens,W,0;0;1
Acacia conferta,W,0;0;1
Acacia confusa,W,0;0;4
Acacia conspersa,W,0;0;1
Acacia coolgardiensis,W,0;0;1
Acacia coriacea,W,0;0;7
Acacia cornigera,W,0;0;3
Acacia covenyi,W,0;0;1
Acacia cowaniana,W,0;0;1
Acacia cowleana,W,0;0;1
Acacia craspedocarpa,W,0;0;1
Acacia crassa,W,0;0;1
Acacia crassicarpa,W,0;0;5
Acacia cretacea,W,0;0;1
Acacia cretata,W,0;0;1
Acacia cultriformis,W,0;0;3
Acacia curassavica,W,0;0;1
Acacia cuspidifolia,W,0;0;1
Acacia cuthbertsonii,W,0;0;2
Acacia cyanophylla,W,0;0;1
Acacia cyclops,W,0;0;1
Acacia cyperophylla,W,0;0;1
Acacia davyi,W,0;0;1
Acacia dawsonii,W,0;0;1
Acacia dealbata,W,0;0;10
Acacia deanei,W,0;0;4
Acacia debilis,W,0;0;1
Acacia decora,W,0;0;8
Acacia decurrens,W,0;0;5
Acacia delibrata,W,0;0;1
Acacia demissa,W,0;0;1
Acacia dempsteri,W,0;0;1
Acacia desertorum,W,0;0;1
Acacia desmondii,W,0;0;2
Acacia dictyophleba,W,0;0;1
Acacia didyma,W,0;0;1
Acacia dietrichiana,W,0;0;1
Acacia difficilis,W,0;0;3
Acacia difformis,W,0;0;1
Acacia dimidiata,W,0;0;4
